Spent (M)
29.92
97.87
50.6
16.5
67.1
18.7
10.15
19.77
19.69
10.01
12.43
76.84
27.17
7.15
35.06
19.83
32.31
23.82
15.8
11.52
117.15
64.9
34.05
99.77
41.31
27.93
64.5
6.82
85.75
51.87
41.64
70.75
103.57
55.66
13.31
19.69
24.59
32.23
55.47
24.94
49.73
33.55
78.6
44.17
61.49
27.58
173.09
29.54
158.35
17.6
37.35
26.51
26.07
12.85
31.02
36.42
19.74
26.75
14.08
39.02
33
30.03
13.2
44.33
47.85
162.03
51.59
25.63
22.06
14.61
7.82
28.66
50.71
13.2
20.28
21.4
14.89
23.82
11.62
16.34
32.23
133.65
201.97
25.3
107.5
29.26
1.87
23.21
41.14
5.93
32.01
15.21
5.56
12.16
15.38
22.24
6.3
12.54
28.16
19.83
100.16
68.53
72.02
9.9
29.7
106.1
7.92
19.94
71.86
10.05
16.78
14.14
27.28
30.71
13.61
17.16
28.85
22.61
22.37
13.26
84.1
68.15
120.67
61.6
80.58
23.82
77.66
5.5
26.28
11
35.16
22.52
30.61
12.19
45.65
26.05
42.13
11.59
11.9
55.39
127.05
63.91
143.39
54.18
34.98
134.81
84.84
4.18
43.56
36.29
7.7
29.27
26.4
21.82
34.21
37.3
32.23
33.06
50.4
17.27
151.47
113.08
130.88
214.89
53.33
166.57
105.6
45.68
1.98
34.34
44.18
38.67
25.15
27.37
14.8
49.52
53.04
47.89
13.88
24.77
54.89
29.15
229.32
171.6
78.1
66.11
139.15
57.97
59.02
106.15
23.99
91.08
60.62
31.68
53.79
47.19
118.7
55.55
72.66
73.21
146.08
91.85
124.34
236.5
87.89
203.5
94.6
44.76
111.32
101.31
75.79
63.91
41.69
91.85
50.16
42.65
77.5
44
46.09
52.75
349.25
218.24
135.85
286.55
191.27
168.14
39.31
223.52
92.23
51.15
37.73
53.85
80.74
62.48
73.15
62.43
80.72
67.38
63.47
58.85
